iter	RMSE
0	18499.90331
1	16895.14324
2	15477.66316
3	14238.66248
4	13160.7103
5	12212.53895
6	11400.08101
7	10687.81215
8	10083.47206
9	9572.447672
10	9128.178777
11	8755.793698
12	8437.428626
13	8167.806366
14	7943.978078
15	7746.509451
16	7584.842115
17	7446.878107
18	7326.912523
19	7221.468923
20	7132.6293
21	7058.135472
22	6994.378895
23	6939.898749
24	6891.272583
25	6849.214295
26	6808.703995
27	6777.238167
28	6744.37216
29	6714.63602
30	6693.01111
31	6673.753309
32	6650.268841
33	6634.373737
34	6614.666658
35	6593.008687
36	6577.894168
37	6563.051268
38	6550.10411
39	6533.617038
40	6518.118704
41	6508.608594
42	6497.109656
43	6485.364873
44	6475.254746
45	6465.013737
46	6457.523469
47	6443.892122
48	6432.924489
49	6426.678004
50	6415.050359
51	6406.956082
52	6397.020181
53	6388.359809
54	6381.621609
55	6371.99461
56	6363.764831
57	6353.468344
58	6345.504038
59	6339.75487
60	6333.326247
61	6322.455016
62	6316.122331
63	6312.059998
64	6303.217687
65	6295.691206
66	6288.359381
67	6278.768468
68	6273.137924
69	6265.069812
70	6255.754465
71	6245.506689
72	6240.639771
73	6229.337059
74	6222.200312
75	6216.160987
76	6212.63534
77	6208.836227
78	6203.931284
79	6196.698531
80	6190.264994
81	6183.141895
82	6176.927769
83	6173.163863
84	6166.054082
85	6158.122704
86	6151.456935
87	6147.04266
88	6141.562372
89	6137.590424
90	6131.276077
91	6124.691382
92	6118.831431
93	6115.931298
94	6112.841701
95	6107.256472
96	6102.741833
97	6098.582541
98	6093.73195
99	6088.42033
100	6084.907858
101	6078.206969
102	6073.776197
103	6069.979181
104	6064.966544
105	6059.49393
106	6057.269877
107	6053.642608
108	6050.579347
109	6046.37406
110	6044.448589
111	6037.915639
112	6034.43832
113	6028.608868
114	6024.015294
115	6018.88013
116	6015.915869
117	6011.826512
118	6008.201138
119	6005.543053
120	6001.22064
121	5998.389057
122	5995.812241
123	5992.433625
124	5987.853657
125	5984.669528
126	5978.631362
127	5976.365969
128	5973.635132
129	5971.657253
130	5967.591772
131	5963.823166
132	5960.669662
133	5956.713905
134	5951.4571
135	5946.555744
136	5942.658939
137	5939.442046
138	5934.834592
139	5930.277009
140	5927.466808
141	5924.801831
142	5922.739163
143	5919.414186
144	5914.98314
145	5913.148568
146	5911.424069
147	5909.340837
148	5905.732594
149	5903.066138
150	5901.260099
151	5898.767893
152	5895.060542
153	5890.538059
154	5887.715302
155	5885.414369
156	5881.857436
157	5877.553653
158	5874.440963
159	5872.063454
160	5868.964384
161	5866.014408
162	5864.552035
163	5862.327881
164	5859.471675
165	5856.844948
166	5854.028459
167	5851.470844
168	5848.401519
169	5844.30961
170	5843.011472
171	5840.555913
172	5838.823338
173	5832.471548
174	5830.282906
175	5828.915731
176	5825.386737
177	5821.304647
178	5818.164214
179	5814.671643
180	5813.079937
181	5811.720439
182	5809.591031
183	5807.503311
184	5805.208222
185	5803.750901
186	5801.776407
187	5797.672635
188	5795.66477
189	5792.300692
190	5789.111907
191	5784.100824
192	5780.81191
193	5778.044368
194	5776.459539
195	5770.682104
196	5768.817807
197	5766.392506
198	5764.415356
199	5762.03282
200	5760.302737
201	5757.946353
202	5755.656258
203	5753.607358
204	5751.922881
205	5749.301827
206	5747.355456
207	5744.480862
208	5742.502632
209	5740.432458
210	5735.852461
211	5733.272758
212	5731.119238
213	5728.640781
214	5727.112729
215	5724.921426
216	5722.008525
217	5719.494643
218	5715.917057
219	5713.574351
220	5710.611505
221	5708.837307
222	5705.034144
223	5702.030008
224	5700.429958
225	5698.654472
226	5697.05095
227	5693.776598
228	5692.499447
229	5690.412242
230	5685.175935
231	5682.997785
232	5681.021793
233	5679.144135
234	5676.158476
235	5673.187215
236	5672.272637
237	5670.693223
238	5668.098534
239	5665.802213
240	5662.524041
241	5659.849768
242	5657.664241
243	5653.845074
244	5651.780408
245	5649.744399
246	5647.3219
247	5644.73448
248	5642.574919
249	5640.451324
250	5638.13167
251	5636.254538
252	5634.210299
253	5632.675048
254	5630.983193
255	5629.181071
256	5627.159459
257	5624.080226
258	5619.707533
259	5618.386225
260	5614.72472
261	5612.527312
262	5611.042808
263	5609.2842
264	5606.834353
265	5604.903957
266	5600.202647
267	5599.087851
268	5597.564782
269	5596.278416
270	5593.811232
271	5590.825372
272	5588.271182
273	5585.748204
274	5584.147819
275	5582.407222
276	5581.046848
277	5579.752025
278	5577.80623
279	5575.10613
280	5572.581338
281	5569.807735
282	5568.511813
283	5565.671487
284	5563.091745
285	5560.994852
286	5559.344529
287	5556.516757
288	5554.060755
289	5553.355076
290	5551.618806
291	5549.097308
292	5547.547705
293	5546.603289
294	5544.694276
295	5542.068437
296	5539.196993
297	5537.185813
298	5534.247382
299	5531.764629
300	5529.748677
301	5527.166916
302	5524.95212
303	5524.312451
304	5519.741267
305	5518.556494
306	5517.396275
307	5515.143651
308	5512.485816
309	5511.066567
310	5509.570101
311	5507.605463
312	5505.078575
313	5503.225758
314	5501.157998
315	5499.423541
316	5498.430726
317	5496.810018
318	5494.638951
319	5492.729231
320	5491.95235
321	5490.095588
322	5486.120924
323	5485.094627
324	5484.000634
325	5483.114817
326	5481.94614
327	5479.010119
328	5478.095907
329	5476.328124
330	5474.361744
331	5473.372355
332	5471.639248
333	5469.713305
334	5468.756044
335	5467.701055
336	5465.939035
337	5464.067525
338	5462.727228
339	5461.282661
340	5459.943889
341	5457.864578
342	5456.681273
343	5454.727296
344	5452.762096
345	5452.091472
346	5450.669582
347	5447.805588
348	5446.156748
349	5444.523569
350	5443.256093
351	5440.628143
352	5439.05588
353	5437.99232
354	5437.164384
355	5435.223511
356	5432.260359
357	5430.619838
358	5429.267198
359	5426.887534
360	5424.967471
361	5423.086121
362	5422.506899
363	5421.891077
364	5420.73678
365	5418.658497
366	5416.780457
367	5415.678207
368	5414.939567
369	5413.441098
370	5412.10616
371	5410.797039
372	5404.805626
373	5402.802913
374	5401.906172
375	5400.821395
376	5399.16896
377	5397.632451
378	5395.955708
379	5394.327516
380	5392.969643
381	5390.676789
382	5389.594847
383	5387.682332
384	5386.559189
385	5383.392138
386	5382.403724
387	5381.716516
388	5381.201462
389	5379.716551
390	5378.103298
391	5377.158751
392	5375.527169
393	5373.623702
394	5372.731377
395	5372.298498
396	5371.062599
397	5370.295543
398	5369.267943
399	5367.390146
400	5365.837802
401	5364.261012
402	5362.717217
403	5361.707311
404	5360.846962
405	5359.481203
406	5357.879052
407	5356.928434
408	5355.299687
409	5354.314992
410	5352.878002
411	5351.855759
412	5349.865343
413	5349.20636
414	5347.426562
415	5346.614346
416	5344.130618
417	5342.972085
418	5342.286944
419	5341.082232
420	5339.599588
421	5338.022752
422	5336.147051
423	5335.436926
424	5334.89316
425	5333.282389
426	5331.118696
427	5330.24188
428	5329.516099
429	5327.527822
430	5325.941904
431	5324.542861
432	5323.955985
433	5322.718523
434	5322.296547
435	5320.022767
436	5319.050447
437	5318.205004
438	5317.253122
439	5315.885075
440	5314.698712
441	5313.234745
442	5310.81528
443	5309.045024
444	5307.903177
445	5307.140627
446	5306.015193
447	5305.006337
448	5303.453269
449	5301.270623
450	5300.563588
451	5298.378224
452	5297.835628
453	5295.798015
454	5294.252078
455	5293.523796
456	5292.017316
457	5290.747167
458	5289.484257
459	5288.612885
460	5287.279929
461	5286.436413
462	5284.830579
463	5282.691495
464	5281.751725
465	5278.457776
466	5277.138909
467	5275.81327
468	5274.283949
469	5273.127532
470	5270.982494
471	5268.608732
472	5267.766139
473	5266.123588
474	5265.409797
475	5264.958126
476	5263.153701
477	5261.224255
478	5260.33505
479	5259.75194
480	5258.531923
481	5257.87721
482	5256.868482
483	5255.449928
484	5254.549871
485	5252.692397
486	5251.660654
487	5250.271925
488	5249.099536
489	5246.998558
490	5245.843764
491	5244.756322
492	5243.836148
493	5242.875127
494	5241.555695
495	5240.330492
496	5239.459137
497	5239.105549
498	5238.150714
499	5236.92683
500	5235.75966
501	5234.837567
502	5233.929408
503	5232.971728
504	5231.297961
505	5229.852943
