iter	Passed	Remaining
0	190	190390
1	238	118946
2	295	98287
3	363	90564
4	411	81897
5	477	79131
6	544	77308
7	610	75653
8	684	75387
9	761	75427
10	852	76684
11	979	80666
12	1060	80494
13	1106	77961
14	1191	78234
15	1259	77431
16	1315	76070
17	1380	75312
18	1445	74656
19	1511	74047
20	1587	74019
21	1665	74024
22	1719	73050
23	1794	72987
24	1850	72153
25	1925	72137
26	1971	71060
27	2026	70343
28	2093	70101
29	2146	69406
30	2208	69032
31	2273	68767
32	2327	68190
33	2391	67935
34	2455	67699
35	2499	66935
36	2553	66464
37	2618	66283
38	2673	65881
39	2738	65731
40	2823	66039
41	2884	65797
42	2951	65686
43	3017	65554
44	3072	65204
45	3136	65039
46	3199	64869
47	3253	64533
48	3325	64550
49	3391	64440
50	3446	64131
51	3499	63801
52	3583	64021
53	3647	63902
54	3700	63577
55	3766	63486
56	3824	63263
57	3898	63311
58	3962	63199
59	4035	63228
60	4100	63117
61	4178	63220
62	4234	62983
63	4298	62864
64	4376	62947
65	4480	63402
66	4536	63171
67	4601	63070
68	4666	62963
69	4740	62981
70	4794	62728
71	4850	62522
72	4915	62423
73	4981	62338
74	5037	62123
75	5090	61885
76	5152	61763
77	5217	61673
78	5273	61478
79	5347	61497
80	5413	61418
81	5487	61429
82	5563	61471
83	5652	61636
84	5737	61764
85	5817	61823
86	5884	61748
87	5951	61679
88	6016	61586
89	6080	61482
90	6143	61369
91	6217	61366
92	6261	61061
93	6334	61057
94	6408	61048
95	6463	60866
96	6528	60772
97	6583	60592
98	6653	60551
99	6708	60380
100	6799	60519
101	6867	60462
102	6945	60486
103	6987	60203
104	7059	60178
105	7106	59934
106	7179	59915
107	7242	59819
108	7305	59720
109	7358	59536
110	7421	59436
111	7475	59266
112	7538	59175
113	7600	59073
114	7661	58958
115	7707	58733
116	7769	58635
117	7843	58627
118	7906	58532
119	7949	58296
120	8012	58210
121	8075	58116
122	8132	57983
123	8199	57924
124	8280	57965
125	8376	58103
126	8431	57957
127	8474	57731
128	8538	57654
129	8591	57499
130	8657	57432
131	8712	57293
132	8767	57153
133	8841	57139
134	8895	56999
135	8973	57006
136	9047	56995
137	9120	56972
138	9166	56779
139	9242	56778
140	9307	56702
141	9380	56681
142	9455	56666
143	9500	56475
144	9554	56339
145	9620	56275
146	9672	56126
147	9726	55995
148	9804	55998
149	9862	55885
150	9945	55916
151	9977	55663
152	10050	55640
153	10117	55578
154	10173	55460
155	10238	55395
156	10325	55442
157	10389	55368
158	10444	55244
159	10509	55174
160	10575	55109
161	10617	54923
162	10703	54963
163	10769	54895
164	10832	54818
165	10906	54797
166	10971	54726
167	11035	54650
168	11097	54568
169	11162	54499
170	11202	54308
171	11256	54190
172	11318	54107
173	11394	54090
174	11439	53928
175	11522	53944
176	11588	53883
177	11661	53853
178	11717	53744
179	11799	53752
180	11885	53778
181	11956	53737
182	12027	53698
183	12085	53594
184	12172	53624
185	12233	53540
186	12302	53486
187	12372	53438
188	12442	53391
189	12513	53347
190	12595	53348
191	12679	53360
192	12811	53570
193	12926	53705
194	13023	53761
195	13129	53859
196	13241	53974
197	13343	54048
198	13426	54044
199	13523	54093
200	13593	54035
201	13676	54029
202	13756	54010
203	13865	54103
204	13955	54119
205	14036	54103
206	14125	54111
207	14205	54090
208	14288	54077
209	14370	54060
210	14472	54117
211	14549	54081
212	14629	54053
213	14695	53974
214	14784	53980
215	14849	53899
216	14916	53822
217	15001	53812
218	15086	53803
219	15161	53755
220	15237	53710
221	15303	53630
222	15401	53663
223	15469	53590
224	15566	53619
225	15642	53573
226	15737	53590
227	15829	53599
228	15905	53549
229	15980	53500
230	16079	53529
231	16152	53471
232	16236	53447
233	16319	53421
234	16405	53406
235	16481	53354
236	16556	53300
237	16634	53257
238	16701	53180
239	16790	53168
240	16887	53185
241	16952	53099
242	17036	53072
243	17105	53000
244	17188	52967
245	17274	52946
246	17359	52921
247	17433	52863
248	17546	52922
249	17631	52895
250	17713	52858
251	17768	52742
252	17864	52747
253	17933	52671
254	17996	52578
255	18079	52544
256	18152	52478
257	18252	52492
258	18330	52443
259	18403	52380
260	18497	52374
261	18575	52324
262	18660	52291
263	18727	52209
264	18813	52181
265	18882	52105
266	19000	52161
267	19080	52115
268	19191	52151
269	19321	52239
270	19463	52358
271	19596	52449
272	19720	52515
273	19841	52571
274	19966	52640
275	20088	52695
276	20179	52670
277	20300	52722
278	20458	52869
279	20700	53231
280	20879	53425
281	21046	53586
282	21180	53661
283	21311	53728
284	21431	53765
285	21545	53788
286	21683	53869
287	21788	53866
288	21912	53910
289	22033	53944
290	22154	53977
291	22278	54018
292	22406	54066
293	22508	54051
294	22632	54088
295	22764	54143
296	22922	54257
297	23067	54340
298	23196	54384
299	23292	54348
300	23423	54395
301	23536	54398
302	23649	54401
303	23783	54452
304	24001	54691
305	24152	54776
306	24293	54837
307	24530	55114
308	24705	55246
309	24881	55381
310	25044	55484
311	25258	55698
312	25472	55908
313	25644	56024
314	25811	56129
315	25981	56238
316	26097	56229
317	26264	56327
318	26401	56360
319	26529	56374
320	26663	56399
321	26831	56496
322	27006	56604
323	27163	56674
324	27290	56681
325	27453	56759
326	27602	56808
327	27775	56906
328	27924	56953
329	28051	56953
330	28201	56998
331	28360	57062
332	28601	57288
333	29037	57901
334	29305	58173
335	29543	58382
336	29878	58782
337	30149	59050
338	30434	59343
339	30637	59472
340	30847	59614
341	31054	59747
342	31299	59953
343	31519	60106
344	31726	60234
345	31921	60337
346	32079	60369
347	32248	60419
348	32399	60435
349	32591	60527
350	32789	60626
351	33077	60892
352	33292	61020
353	33485	61107
354	33685	61203
355	33851	61236
356	34027	61287
357	34183	61300
358	34358	61347
359	34527	61382
360	34759	61526
361	34987	61662
362	35174	61725
363	35343	61753
364	35502	61764
365	35695	61832
366	35886	61897
367	36042	61899
368	36179	61867
369	36353	61899
370	36497	61878
371	36660	61889
372	36795	61851
373	36933	61819
374	37071	61785
375	37208	61749
376	37362	61742
377	37499	61705
378	37646	61684
379	37794	61665
380	37945	61648
381	38092	61626
382	38255	61628
383	38411	61618
384	38557	61592
385	38725	61599
386	38882	61588
387	39025	61556
388	39167	61519
389	39323	61505
390	39464	61467
391	39617	61447
392	39770	61426
393	39942	61434
394	40086	61398
395	40217	61341
396	40363	61307
397	40557	61345
398	40744	61372
399	40893	61340
400	41054	61325
401	41213	61307
402	41380	61300
403	41516	61247
404	41679	61233
405	41871	61259
406	42003	61198
407	42158	61171
408	42494	61404
409	42700	61446
410	42853	61412
411	43052	61443
412	43223	61434
413	43366	61382
414	43511	61335
415	43637	61259
416	43773	61199
417	43905	61132
418	44021	61041
419	44147	60965
420	44278	60895
421	44442	60871
422	44608	60849
423	44769	60819
424	44904	60753
425	45057	60710
426	45248	60720
427	45366	60629
428	45499	60560
429	45626	60481
430	45773	60429
431	45953	60419
432	46099	60365
433	46245	60310
434	46369	60226
435	46524	60182
436	46681	60141
437	46832	60091
438	46971	60024
439	47152	60012
440	47428	60118
441	47752	60284
442	47998	60350
443	48250	60421
444	48478	60461
445	48680	60468
446	48903	60500
447	49288	60730
448	49575	60837
449	49772	60832
450	49930	60780
451	50054	60685
452	50173	60585
453	50363	60569
454	50544	60542
455	50724	60512
456	50924	60507
457	51124	60501
458	51374	60552
459	51601	60575
460	51872	60648
461	52093	60662
462	52346	60712
463	52583	60743
464	52814	60764
465	53081	60827
466	53298	60831
467	53497	60813
468	53671	60766
469	53856	60731
470	54071	60730
471	54274	60713
472	54454	60671
473	54670	60668
474	54868	60643
475	55018	60566
476	55197	60520
477	55479	60586
478	55679	60561
479	55851	60505
480	56066	60496
481	56292	60496
482	56459	60433
483	56646	60391
484	56821	60336
485	56990	60274
486	57196	60249
487	57378	60200
488	57534	60123
489	57727	60083
490	57922	60045
491	58073	59961
492	58184	59836
493	58233	59648
494	58286	59463
495	58330	59271
496	58372	59076
497	58414	58883
498	58463	58697
499	58507	58507
500	58561	58327
501	58606	58139
502	58667	57967
503	58708	57776
504	58754	57591
505	58797	57403
506	58846	57221
507	58902	57047
508	58961	56876
509	59002	56688
510	59055	56512
511	59098	56328
512	59156	56158
513	59197	55972
514	59248	55797
515	59301	55624
516	59348	55445
517	59420	55291
518	59481	55126
519	59537	54957
520	59610	54805
521	59665	54636
522	59721	54468
523	59787	54310
524	59843	54143
525	59888	53967
526	59938	53796
527	59981	53620
528	60031	53449
529	60073	53272
530	60120	53100
531	60167	52929
532	60215	52759
533	60262	52588
534	60317	52425
535	60358	52251
536	60404	52080
537	60449	51910
538	60497	51742
539	60539	51570
540	60590	51406
541	60641	51243
542	60694	51082
543	60748	50921
544	60796	50756
545	60842	50590
546	60887	50424
547	60937	50262
548	60987	50100
549	61042	49943
550	61090	49781
551	61143	49623
552	61187	49458
553	61237	49299
554	61286	49139
555	61338	48982
556	61394	48828
557	61440	48667
558	61486	48506
559	61536	48350
560	61595	48200
561	61657	48053
562	61743	47924
563	61793	47769
564	61854	47622
565	61917	47477
566	61973	47327
567	62021	47171
568	62068	47015
569	62116	46860
570	62190	46724
571	62245	46575
572	62295	46422
573	62348	46272
574	62405	46125
575	62462	45979
576	62527	45839
577	62586	45694
578	62639	45546
579	62685	45392
580	62730	45239
581	62793	45099
582	62838	44946
583	62887	44796
584	62934	44645
585	62990	44502
586	63052	44362
587	63110	44220
588	63164	44075
589	63218	43931
590	63274	43788
591	63335	43650
592	63382	43501
593	63436	43359
594	63491	43216
595	63560	43084
596	63625	42949
597	63701	42822
598	63771	42691
599	63834	42556
600	63901	42423
601	63963	42288
602	64026	42153
603	64073	42008
604	64125	41867
605	64175	41724
606	64226	41583
607	64268	41436
608	64322	41297
609	64366	41152
610	64420	41014
611	64472	40874
612	64527	40737
613	64576	40596
614	64623	40455
615	64671	40314
616	64714	40171
617	64770	40036
618	64826	39901
619	64877	39763
620	64934	39630
621	64991	39496
622	65052	39365
623	65109	39232
624	65172	39103
625	65216	38963
626	65267	38827
627	65329	38698
628	65383	38564
629	65440	38433
630	65495	38301
631	65551	38169
632	65609	38038
633	65669	37910
634	65725	37778
635	65778	37646
636	65840	37520
637	65897	37390
638	65954	37260
639	66006	37128
640	66080	37009
641	66125	36873
642	66175	36741
643	66222	36607
644	66282	36480
645	66338	36352
646	66391	36222
647	66455	36099
648	66516	35974
649	66577	35849
650	66625	35718
651	66675	35587
652	66732	35461
653	66792	35336
654	66853	35213
655	66913	35088
656	66970	34963
657	67036	34842
658	67094	34717
659	67135	34584
660	67189	34458
661	67241	34331
662	67304	34210
663	67357	34084
664	67406	33956
665	67463	33832
666	67521	33710
667	67566	33580
668	67617	33455
669	67666	33328
670	67719	33203
671	67770	33078
672	67811	32948
673	67861	32823
674	67905	32695
675	67951	32568
676	68004	32445
677	68052	32319
678	68100	32194
679	68147	32069
680	68191	31942
681	68241	31819
682	68290	31695
683	68338	31571
684	68385	31447
685	68438	31326
686	68490	31204
687	68539	31081
688	68586	30958
689	68627	30832
690	68679	30711
691	68722	30587
692	68800	30478
693	68866	30364
694	68931	30250
695	68985	30131
696	69048	30016
697	69114	29903
698	69168	29785
699	69227	29668
700	69282	29551
701	69347	29438
702	69398	29319
703	69448	29199
704	69511	29086
705	69568	28970
706	69627	28855
707	69682	28739
708	69761	28632
709	69830	28522
710	69897	28411
711	69957	28297
712	70024	28186
713	70092	28076
714	70141	27958
715	70203	27846
716	70253	27729
717	70304	27612
718	70374	27503
719	70438	27392
720	70487	27276
721	70541	27161
722	70587	27043
723	70638	26928
724	70690	26813
725	70739	26697
726	70787	26581
727	70840	26468
728	70900	26356
729	70954	26243
730	71008	26130
731	71058	26015
732	71111	25902
733	71158	25787
734	71210	25674
735	71256	25559
736	71304	25445
737	71355	25332
738	71419	25223
739	71477	25113
740	71530	25001
741	71585	24891
742	71636	24778
743	71689	24667
744	71739	24555
745	71789	24442
746	71835	24329
747	71881	24216
748	71931	24105
749	71975	23991
750	72018	23878
751	72064	23766
752	72113	23654
753	72161	23543
754	72216	23434
755	72265	23323
756	72311	23212
757	72366	23103
758	72429	22998
759	72479	22888
760	72527	22778
761	72580	22669
762	72648	22565
763	72701	22457
764	72751	22348
765	72794	22237
766	72847	22129
767	72897	22021
768	72952	21914
769	72998	21804
770	73047	21696
771	73106	21590
772	73153	21482
773	73201	21374
774	73246	21265
775	73295	21157
776	73352	21052
777	73397	20943
778	73442	20835
779	73494	20729
780	73541	20621
781	73591	20515
782	73641	20408
783	73700	20305
784	73755	20200
785	73813	20096
786	73874	19994
787	73932	19890
788	73984	19785
789	74045	19682
790	74097	19578
791	74151	19474
792	74210	19371
793	74273	19269
794	74329	19166
795	74380	19062
796	74440	18960
797	74492	18856
798	74541	18751
799	74597	18649
800	74656	18547
801	74736	18451
802	74792	18348
803	74858	18249
804	74941	18153
805	75016	18056
806	75079	17955
807	75136	17854
808	75191	17752
809	75242	17649
810	75304	17549
811	75368	17449
812	75420	17347
813	75475	17246
814	75541	17147
815	75596	17046
816	75647	16944
817	75695	16841
818	75745	16739
819	75798	16638
820	75844	16536
821	75896	16434
822	75943	16332
823	75994	16231
824	76049	16131
825	76105	16031
826	76158	15931
827	76212	15831
828	76258	15730
829	76321	15632
830	76387	15534
831	76440	15435
832	76508	15338
833	76567	15240
834	76627	15141
835	76698	15046
836	76752	14947
837	76820	14850
838	76886	14754
839	76949	14657
840	77007	14559
841	77063	14460
842	77124	14363
843	77187	14266
844	77243	14168
845	77298	14070
846	77368	13975
847	77486	13889
848	77562	13795
849	77625	13698
850	77681	13601
851	77745	13505
852	77818	13410
853	77879	13314
854	77938	13217
855	77994	13120
856	78048	13023
857	78112	12927
858	78166	12830
859	78210	12731
860	78259	12634
861	78336	12541
862	78389	12444
863	78436	12346
864	78482	12248
865	78549	12154
866	78616	12059
867	78669	11963
868	78721	11867
869	78772	11770
870	78816	11673
871	78862	11576
872	78914	11480
873	78960	11383
874	79006	11286
875	79055	11190
876	79108	11095
877	79157	10999
878	79197	10901
879	79244	10806
880	79288	10709
881	79334	10613
882	79386	10518
883	79437	10423
884	79487	10328
885	79530	10233
886	79579	10138
887	79624	10042
888	79672	9947
889	79725	9853
890	79773	9759
891	79827	9665
892	79873	9570
893	79923	9476
894	79969	9381
895	80018	9287
896	80077	9195
897	80127	9101
898	80179	9007
899	80226	8914
900	80274	8820
901	80333	8727
902	80383	8634
903	80423	8540
904	80471	8447
905	80516	8353
906	80566	8260
907	80614	8168
908	80669	8075
909	80722	7983
910	80773	7891
911	80823	7798
912	80876	7706
913	80933	7615
914	80988	7523
915	81052	7432
916	81102	7340
917	81162	7249
918	81215	7158
919	81259	7066
920	81309	6974
921	81361	6883
922	81408	6791
923	81457	6699
924	81504	6608
925	81547	6516
926	81587	6424
927	81637	6333
928	81684	6242
929	81735	6152
930	81793	6062
931	81851	5971
932	81906	5881
933	81964	5791
934	82016	5701
935	82066	5611
936	82118	5521
937	82167	5431
938	82216	5340
939	82271	5251
940	82327	5161
941	82374	5071
942	82418	4981
943	82475	4892
944	82526	4803
945	82587	4714
946	82642	4625
947	82691	4535
948	82737	4446
949	82788	4357
950	82839	4268
951	82986	4184
952	83036	4095
953	83086	4006
954	83133	3917
955	83177	3828
956	83222	3739
957	83270	3650
958	83315	3561
959	83356	3473
960	83404	3384
961	83469	3297
962	83532	3209
963	83580	3121
964	83647	3033
965	83698	2945
966	83757	2858
967	83805	2770
968	83864	2682
969	83915	2595
970	83972	2507
971	84036	2420
972	84091	2333
973	84149	2246
974	84211	2159
975	84253	2071
976	84308	1984
977	84366	1897
978	84426	1810
979	84484	1724
980	84537	1637
981	84600	1550
982	84658	1464
983	84713	1377
984	84777	1291
985	84832	1204
986	84883	1118
987	84934	1031
988	84981	945
989	85033	858
990	85088	772
991	85135	686
